Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baystorm-bed,Baystorm Bed,"Rest in the beachy style of this king panel bed. Its driftwood and surfer-inspired smoky finish gives this bed a rustic look that's perfect for creating an island escape in the room. Clean lines and modern charm blend for an authentic look to be enjoyed for years to come. Mattress and foundation/box spring sold separately.
<br><br>
<h3>More About This Product</h3>
<br>
<div class=""container-desc"">
    <h2 class=""kas58-header"">Weight &amp; Dimensions</h2>
    <details>
        <summary>Dimensions</summary>
        <table class=""kas58-table"">
            <tbody>
                <tr class=""kas58-row"">
                    <td class=""kas58-cell-header"">Full Dimension</td>
                    <td class=""kas58-cell""><p>79W x 83.5D x 51.5H</p></td>
            </tr>
</tbody>
        </table>
    </details>
    <br>
    <details>
        <summary>Weight</summary>
        <table class=""kas58-table"">
            <tbody>
                <tr class=""kas58-row"">
                    <td class=""kas58-cell-header"">Weight</td>
                    <td class=""kas58-cell""><p>130lbs.</p></td>
                </tr>
            </tbody>
        </table>
    </details>
</div>",Romeo Furniture,Bed,"500-1000, ar-availability_available, availability_in-stock, bed, bed-size_full, bed-size_king, bed-size_queen, bed-style_panel-bed, Bedroom Demographic_Master, Bedroom Demographic_Youth, Brand_Ashley, Collection_Baystorm, Color_Gray, Extreme Value Collection_False, material_wood-products-and-other, product-video_not-available, Production_Paused, romeo-furniture, Room_Bedroom, seat-count_0, shipping_not-express, style_casual, sub-brand_signature-design-by-ashley-reg, top-products_consumer-choice, Type_Bed, under-500",2024-12-16T07:03:32-05:00,Bed Size,King,Option,Panel Bed w/ LED Lights,,,B221B11,58967,,100,deny,manual,609.99,819.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_15.377695_nzzddqycpe.jpg?v=1734350613,1,Baystorm Bed image,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_15.377695_nzzddqycpe.jpg?v=1734350613,lb,,,active
baystorm-bed,,,,,,,,Queen,,Panel Bed w/ LED Lights,,,B221B2,53524,,100,deny,manual,439.99,589.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_42_11.810458_hgitgzbmmm.jpg?v=1734350645,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_26_37.903040_qqmovdiamr.jpg?v=1734350656,lb,,,
baystorm-bed,,,,,,,,Full,,Panel Bed w/ LED Lights,,,B221B21,48534,,100,deny,manual,439.99,589.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-26T23_29_45.981742_lptklkzuwm.jpg?v=1734350646,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_03_06.765192_gpdwpjairz.jpg?v=1734350669,lb,,,
baystorm-bed,,,,,,,,Queen,,Panel Bed w/ Sconce Lights,,,B221B31,58967,,100,deny,manual,439.99,589.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_27_10.400995_bcqgrzifct_f9e257b7-17dc-49de-9073-f3890dd2be2d.jpg?v=1734350647,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_06_16.059513_vqytyrgzbn.jpg?v=1734350686,lb,,,
baystorm-bed,,,,,,,,King,,Panel Bed w/ Sconce Lights,,,B221B33,68039,,100,deny,manual,609.99,819.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_39_10.279892_hbswwodbzk.jpg?v=1734350648,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T01_12_06.519245_cvvjnizupk.jpg?v=1734350695,lb,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_42.526235_ksesbqfgwp.jpg?v=1734350650,6,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_00_17.803503_vgqwjurcwk.jpg?v=1734350651,7,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_12_18.489816_kcwcmwlksy.jpg?v=1734350652,8,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T02_28_10.856438_byjcatuapa.jpg?v=1734350653,9,,,,,,,,,,,,,,,,,,,,,,
baystorm-bed,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0790/7849/0424/files/Ashley_20Furniture_2024-08-27T00_29_43.703643_rhqfcljunf.jpg?v=1734350655,10,,,,,,,,,,,,,,,,,,,,,,
